Date,Action,Environment,Log Level
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.45,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.445,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.15,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Napthalene-Cerex <= 0.145,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Chlorine-Ceres >= 1.8,G357-Cerex,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Chlorine-Ceres <= 1.75,G357-Cerex,info
