Date,Username,Message,IP Address,Log Level
2014-02-24 17:32:10,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-24 17:33:01,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-24 17:33:04,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-24 17:33:10,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-25 14:42:20,sahid,GPAC System successfully authenticated,76.102.160.28,notice
2014-02-25 14:42:23,sahid,Accessed Overview,76.102.160.28,info
2014-02-25 14:42:36,sahid,Accessed Camera Matrix,76.102.160.28,info
2014-02-25 14:42:40,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-25 14:43:28,sahid,Accessed Configuration Files,76.102.160.28,info
2014-02-25 14:44:02,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-25 14:44:08,sahid,Logged out,76.102.160.28,notice
2014-03-15 12:58:02,sahid,GPAC System successfully authenticated,76.102.160.28,notice
2014-03-15 12:58:04,sahid,Accessed Overview,76.102.160.28,info
2014-03-15 12:58:12,sahid,Accessed System Configuration,76.102.160.28,info
2014-03-15 12:59:05,sahid,System Configuration updated successfully,76.102.160.28,notice
2014-03-15 12:59:12,sahid,Accessed Device Matrix,76.102.160.28,info
2014-03-15 12:59:20,sahid,Accessed View Logs,76.102.160.28,info
2014-03-15 12:59:43,sahid,Logged out,76.102.160.28,notice
2014-03-15 13:58:42,sahid,GPAC System successfully authenticated,76.102.160.28,notice
2014-03-15 13:58:44,sahid,Accessed Overview,76.102.160.28,info
2014-03-15 13:58:51,sahid,Accessed System Configuration,76.102.160.28,info
2014-03-15 13:59:06,sahid,Logged out,76.102.160.28,notice
2014-03-17 07:38:24,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-03-17 07:38:25,Jeff,Accessed Overview,192.168.1.148,info
2014-03-17 07:38:44,Jeff,Accessed System Configuration,192.168.1.148,info
2014-03-17 07:41:02,Jeff,System Configuration updated successfully,192.168.1.148,notice
2014-03-17 07:41:14,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-03-17 07:41:21,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-03-17 07:41:34,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-03-17 07:41:51,Jeff,Accessed Device Table,192.168.1.148,info
